Plt,X,Y,Sex,Ros23,Frt23,A1-23,A2-23,PM23,Comm23,Notes
601,60,25,F,,0,402,369,75,,focal
601.1,75,47,,,,,,,,"rs, dead22"
602,140,15,F,,0,358,286,50,wrong22 incl ph in mmt,
603,485,5,H,,31,240,195,25,wrong22,"wtp sep 2 plts, focal"
604,490,20,F,8,0,,,,,"dead21, alive 22"
605.1,640,35,F,,0,115,70,15,,"Mix min pp ph,gs"
606.1,756,15,H,,0,95,87,10,,yc
607,1235,5,H,,32,155,148,20,,
608,1360,30,H,,0,"24,44","16,29","60,25",db,"Mix min pp ph, 2 pcs"
609,1370,25,H,,,,,,dead23,"focal, d22, d23"
610,1385,20,H,,0,"54,38,20","38,8,12","30,30,40",,3 pcs
610.2,1390,25,H,,,,,,,"bh, d22, d23"
611,1390,40,Mix,,0,"68,48,50,20,19","45,44,26,18,18","30,30,30,0,0","22 missed some, mix grass",diff inc pl D 5 pcs
612,1410,40,H,,0,"54,44","42,38","10,15",,2 pcs
613,1440,25,Mix,,0,99,29,20,db,"5pcs, ph"
613.4,1445,38, ,,,30,26,10,,wd
615,1470,28,F,,2,145,125,10,,focal
617,1480,10,F,,0,58,38,5,,
617.2,1490,25, ,7,0,,,,db,wd
617.1,1495,10, ,,0,34,27,5,,yc
616,1500,40,H,,0,75,69,5,,
618,1740,30,H,,5,217,175,80,,focal
618.1,1760,15,H,,0,60,54,5,,wc
621.1,1770,40,F,,0,32,30,10,!geum,rh
619,1775,20,,,,,,,,"Mix min ph, d22, d23"
621,1775,30,H,,,,,,,"Mix min ph d22, d23"
622.6,1780,50,F,,,,,,,"ys d22, d23"
622,1790,30,F,,4,"82,34,124","63,27,118","50,40,10",db,"Focal !622.1,622.2&620"
622.2,1790,45,F,,2,73,44,5,,"Htp sep 622.1/622; !620, os"
620,1800,25,F,,0,61,56,5,,Tp sep 622
622.3,1800,45,H,7,0,,,,,rh
620.3,1807,32,H,,0,39,32,5,,od
622.4,1815,50,H,,0,43,28,0,,wc
620.4,1820,27,F,,0,45,42,5,,rs
622.5,1820,50,H,,0,30,23,0,,bd
801,105,35,H,,0,198,108,80,,
803,108,25,,14,0,,,,,"2pc, mixed grass"
805,1110,15,H,,5,200,152,40,,Mix pp
808,1125,20,F,,,,,,dead23,dead23
810,1125,40,F,,10,173,132,30,,
809,1130,10,F,,0,244,105,50,22 didnt incl pc R,incl pc UR
808.1,1135,25, ,8,0,,,,,"Mix phl, bd"
812.2,1142,38,F,,0,56,23,20,,rc
813,1145,10,F,,1,215,174,45,"db, diff",2 pc
812.1,1145,30, ,5,0,,,,db,GD
812,1145,40,H,,0,70,51,0,,
818.1,1154,48,F?,,0,35,28,15,,"mix min, WH"
814,1155,20,F,,0,142,106,30,,"Mix pp, inc pc D"
818,1163,42, ,,0,59,37,35,,
815,1165,35,H,,0,103,92,70,,
816,1175,36,F,,0,95,63,10,,Mix phl 
819,1190,45,H,,0,153,108,10,,
820,1235,45,F,,14,168,143,10,,
821,1353,9,H,,3,163,156,5,,
822,1470,10,F,,0,82,64,20,,
823,1625,45,F,,1,"76,28","49,20","10,10",,Mix phl 2pc
824,1705,30,F,,0,28,25,0,,"Mix min, wtps sep 825"
825,1715,15,F,,12,358,217,55,,
826,1715,30,F,,0,73,66,10,,
826.1,1725,35, ,11,,,,,,RC
827,1755,20, ,,0,73,40,25,,
828,1780,10,H,,55,244,215,40,,incl pc R
831,1820,20,H,,0,"20,81","15,23","25,50",,"mix min, 2pc"
832,1840,25, ,,2,"18,147","16,75","5,40",,2pc
833,1880,25,H,,78,230,203,35,2022 A2 of 223 if measure to end of dead tissue (ok b/c of PM),focal
623,10,10,F,,3,259,170,30,,focal
624,37,5,,,0,176,155,35,,
625,60,5,H,,17,235,165,25,,focal
626,60,25,H,,0,"83,20","53,12","35,20",,"wtp sep 627, 625"
627,65,30,F,,9,307,115,40,db,elongated
630.1,110,12,,,0,46,44,10,,bd
628,115,45,,,,,,,,"focal, dead22"
630,120,35,,,0,40,28,5,,
632,130,20,F?,,1,"97,69","65,49","20,35",db,"Mix ph nincl plt R, focal, 2 pc"
631,130,40,,,,,,,,"Htps sep 630/631, mix min, dead23"
632.1,137,20,F,,0,59,36,50,,Rh
633,150,25,F,,4,248,180,10,A1 22 typo,
633.1,155,35,H,,1,61,44,30,,"Yh, htps sep 633"
629,175,10,,,0,157,135,25,,incl pc UL
634,205,20,F?,,1,179,153,5,1 flwr,"mix w plts, rd"
18.5,224,27,,19,0,,,,,rs
635.1,245,28,,,0,31,23,0,,bs
636,248,48,,,0,55,42,5,,
637,255,5,H,,0,119,105,30,,bd
635,255,40,F,,12,203,146,20,,
641,260,50,F,,10,178,88,20,db,"Mix min, 2 merged plts"
639,265,10,H,,3,190,180,20,,Incl pcs D;
638,270,25,F,,5,178,141,25,,
640,355,15,,,,,,,,"Mix phl, d22"
643,400,25,F,,10,"82,42,94,72","51,30,60,52","25,20,40,10",,4 pc 4rh plt.U.frm.tag
644,415,0,F,,6,91,72,15,,
645,430,12,,,0,74,30,45,db,diff
646,455,20,F,,30,"255,55,121,55","150,51,90,50","30,15,25,30","A2 22 typo, db","focal, 4pc"
647,460,30,,,0,22,16,0,,
648,470,30,,,,,,,,"d22, d23"
649,472,20,,10,0,,,,,yd
650,525,25,,,3,132,49,5,,focal
652,590,0,,,0,125,101,50,,
652.1,595,20,,,,,,,,"Os, dead23"
653,645,45,,7,0,,,,,"htps sep 654, bc"
654,655,45,,,0,88,58,10,,
657.1,690,32,,,1,31,20,0,,"bd, Mix phl"
655,720,45,,,0,79,58,25,,mix min
659,740,20,,,0,"25,35","16,31","5,5",2 pc,"tps sep 658/660, 2pc"
658,740,25,,,,,,,,"2pcs, dead22, d23"
660,745,15,,,0,140,104,50,db," 659 u and touching, incl pc D"
662,786,30,,,,,,,,"1pc, Otp sep from ?, !phl, d23"
663,805,40,,,0,110,100,30,,
664,830,30,,,0,"86,78","57,36","15,20",,2pcs
666,910,40,,,0,109,83,25,,
667,930,35,,,0,128,121,45,,
668.1,960,35,,16,0,,,,,rb
668,985,15,,,0,125,60,15,,diff
669,1025,25,F,,0,145,99,45,,focal
670,1035,45,F,,0,196,173,55,,mix grass
671.2,1055,40,,17,0,,,,db,"bs, Mix phl "
671,1060,30,,,4,112,65,30,,
672,1080,45,F,,0,121,106,30,,
673,1115,30,H,,0,138,82,50,db,
18.2,1155,35,,17,0,,,,,gc
675,1165,50,H,,0,58,51,0,,
676,1175,0,,,2,201,186,30,"A2 22 wrong, saw how someone got this",focal
677,1250,25,,,0,"25,21,42","25,19,18","10,20,25",2022=66 incl ph R,"2 pc 3 pc, !ph"
678,1290,25,,,4,77,72,20,,
678.1,1315,45,,,0,38,27,5,,"wb, Mix phl"
679.1,1380,40,,,0,35,31,0,,yc
679,1405,45,,,13,"90,83,54","56,62,36","30,40,20",,"wh, focal, 3pcs"
680.2,1550,18,,,0,49,41,10,,os
680.3,1560,16,,,0,30,22,0,,wh
18.3,1562,28,,,0,31,20,0,,"bh, mix phx, min"
680.8,1565,45,,,,,,,m23,gc
18.4,1585,30,,,0,41,21,15,,"yc, incl pc D"
680.11,1625,5,,,0,36,30,10,,wh
680.1,1630,40,,,0,50,47,15,,rc
680.12,1640,10,,,0,48,40,0,,"yc, mix min"
680,1650,25,,,4,107,103,10,,
681,1653,40,F,,11,117,91,5,,
680.13,1658,10,,,0,49,43,0,,"yc, mix min"
682,1680,45,H,,2,76,55,5,,
683,1690,5,,,0,100,94,15,,
684,1755,15,,,0,88,80,40,,mix min
685,1805,10,,17,,,,,,"dead 21? ros 23, yh"
686,1805,25,F,,6,97,93,5,,
687,1820,50,,,0,69,29,20,,"U from tag, gc"
688,1840,25,,,0,57,44,25,2022 incl yc,
690,1840,45,F?,,0,73,38,30,,rd
692,1850,45,,,4,130,123,25,,"not incl yc, labl'd as gd"
689,1855,0,,,0,35,60,35,,
691,1855,25,,,0,78,70,25,,bc
692.1,1855,40,,,0,36,22,15,,yc
835,5,15,,,0,38,25,10,db,tag L
836,5,40,,,0,142,128,15,,
834,10,10,,,0,131,77,20,,mixed w grass
836.2,25,40,,,0,40,36,0,,"rh, nincl pl D"
837.1,45,25,,,0,35,31,0,,yd
838,55,10,,,0,184,112,40,db,whtps sep pls U
837.4,70,38,,,0,48,35,20,,rb
839.7,102,38,,,0,34,23,0,,YS
839.8,103,37,,11,,,,,,OH wtps sep 839.7
839.3,107,25,,16,,,,,,GC
839.2,113,25,,,0,39,26,10,,"ros u grass,RC"
839.4,113,31,,,0,29,15,5,A2 22 typo,BD
839.6,115,37,,,0,37,25,0,,"3 cm L 839.5,YD"
839.5,120,37,,,0,27,15,5,,"Mix aren,OS"
839,130,5,,,9,174,151,0,,
839.9,135,35,,6,,,,,,RS
840.1,140,45,,,0,54,44,0,,GS
840.2,155,32,,,0,21,19,15,,WH
840.5,157,10,,9,,,,,,"Mix min;ros u grass,BD"
840,170,40,,,0,"181,27","72,13","50,0",,2 pcs
841,175,50,,,11,271,123,40,,
842.1,205,5,,6,,,,,,YD
842.4,207,50,,9,,,,,,WS
842.5,212,50,,1,,,,,,YC
842.3,215,35,,,0,41,33,0,,GC
842,220,15,,,0,155,165,20,db,
843,235,20,,,0,236,185,60,,
844.1,265,45,,,3,69,53,5,,os
844.2,405,35,,,0,49,47,20,,BS
845,490,10,,,29,170,141,5,,Focal
847.1,545,20,,,0,52,43,5,,"mix min, bs"
846.1,555,20,,,0,39,24,15,,"close to 847,GC"
846,560,15,,,1,155,108,20,,
847,560,30,,,1,"64,90","36,22","25,90",,2pc 22
848,600,10,,,0,85,46,35,,wh tps sep 849
849,610,15,,,18,188,110,30,,Mix ph
850.3,880,10,,,0,44,39,15,db,"mix phl,YD"
850,955,45,,,,,,,,"mix phl, dead22, dead23"
851.1,995,5,,,0,29,25,25,,"mix min,BD"
851.3,1000,20,,,0,27,19,40,db,YH
851.5,1010,10,,,0,25,21,15,db,OS
851,1020,5,,,,92,59,30,db,
852,1025,35,,,0,39,27,10,db,mix phl
853,1140,40,,,0,76,62,25,,mix min
854,1160,40,,,,67,53,40,db,"mix min phl, sunflwr"
856,1305,25,,,,"49,37,29","32,23,15","15,15,5",db,3 pc
857,1340,45,,,1,147,95,25,,
858,1350,30,,,0,185,174,20,"db, A1 & A2 22 flipped",
860,1420,25,,,0,61,21,15,,"Mix ph, Focal"
860.3,1600,0,,,0,24,16,0,,"Mix phl, rd"
861,1650,30,,,0,161,137,40,,
863,1675,13,,,31,154,129,10,,"Mix ph, Focal, min"
863.5,1695,20,,,0,55,47,10,db,GS
863.6,1700,10,,8,,,,,,"OS, !phl"
863.8,1710,18,,11,,,,,,BC 
865,1790,35,,,0,88,48,15,,Mix pp
866,1810,10,,,0,"118,45,68","73,30,45","40,50,60",A1 & A2 22 probably missed some rosettes nearby,"3 pc,2 plts?"
867,1835,40,,,0,114,95,30,db,
868,1855,26,,,0,130,62,30,,
871,0,10,,,0,168,152,20,,Mix ph
872,50,15,,,1,175,163,30,db!,
873,80,15,,,14,182,170,5,,!phlx
876,185,15,,,6,172,120,15,A2 22 wrong?,"!phlx, !min"
877.1,205,20,,,0,48,31,5,,Os
877,215,20,,,0,137,125,35,db,wtp sep bc
877.2,220,20,,,0,52,33,5,,bc
878,245,0,,,0,95,60,10,,incl pc D
879,265,0,,,3,193,162,20,,
880,265,30,,,13,118,115,5,,
880.1,310,35,,,0,55,46,5,,gs
881.1,325,40,,,0,28,20,10,,rs
882.1,330,10,,,0,64,32,15,,yh
882,340,25,,,88,184,180,15,,wtps sep 882&882.2
881,340,50,,,7,"174,103","86,65","20,30",db,
883,345,10,,,22,213,185,5,,
884,355,40,,,3,102,90,10,,wtps sep 884&881
884.1,390,25,,,0,50,43,5,,wh
884.2,392,10,,,0,35,28,0,,od
884.3,415,30,,,0,55,34,5,,"Ys, Mix ph"
884.4,435,50,,,0,64,52,0,,bs
885,505,5,,,0,120,80,20,,"mix plts, 2 pcs"
886,530,20,,,0,"48,25","26,18","5,0",,2 pcs 22
887,535,35,,,1,83,79,15,,
889,555,45,,,1,64,52,30,,"Mix ph, nincl pc R"
900,560,45,,,2,"115,22","78,13","10,0",,"Mix min, nincl unm pl U, red tp 2pc"
888,570,15,,,3,235,160,15,,
888.1,580,25,,8,0,,,,,rd
890,610,5,,,5,110,90,60,db,Htps sep 891 pos other pl btwn
891,615,10,,,0,"140,18","81,8","40,0",db,2 pcs
890.1,623,0,,,2,46,37,5,,"ws, !890 to L"
892.1,625,35,,14,0,,,,,bc
892,635,25,,,0,"83,40,25","47,19,11","30,35,30",db,"Mix phl, 3 pcs"
508,658,0,,,0,83,60,5,,
893,690,45,,,0,35,26,5,A1 22 typo?,
509,760,5,,,2,103,78,5,A2 22 incl phlox,!phlx
509.1,865,10,,,5,113,82,5,,GD
589,1075,50,,,0,147,138,30,db,incl pc D
588,1090,45,,,0,70,64,40,,incl pc UL
896,1170,5,,,0,131,114,10,,
896.2,1180,30,,,0,47,43,30,,OS
896.1,1190,50,,,,,,,,"dead22, dead23, BD, under willow"
898.1,1415,5,,,0,50,34,5,,"Mix ph,YS"
898,1420,0,,,0,86,75,20,,
899,1435,5,,,0,78,38,40,,Mix pp
899.2,1440,20,,,0,49,41,25,,WC
593,1490,15,,23,0,33,22,45,,
594.3,1535,45,,,0,59,46,5,,bs
594.2,1610,10,,,0,32,27,5,,YC
596,1675,20,,,0,"98,18","20,8","55,30",,"diff, 2pc"
596.1,1680,50,,,0,45,43,0,,YC
598,1695,15,, ,,,,,,dead23
599,1705,5,,,,,,,,"eret in mid, dead22, dead23"
600.2,1728,23,,,1,52,35,10,,BD
600,1740,25,,,1,95,74,5,,htps sep 694
694,1745,15,,,0,"76,28,15","34,23,15","45,0,0",,"htps sep 597, 3pc"
696,1825,15,,,0,"143,182,85","114,80,34","20,60,50",db,"Mix pp, 3pc, !phlx"
697,1880,35,,,20,141,126,25,db,
698,1905,45,,,0,45,15,40,,"mix min, gs"
699,1935,45,,,8,172,127,10,,Mix ph
700,2070,15,,,5,175,148,30,db,
